STUDENT_ID,Name,Math,Science,English,Total,Grade
1,Felice,79,54,63.4,201.3,website
2,Ruthie,29,24,26.9,15.4,product
3,Nickie,85,10,51.5,39.6,hub
4,Paule,91,48,97.9,37.2,standardization
5,Ruthie,46,71,21.1,114.2,application
6,Roberta,62,12,15.5,8.6,system engine
7,Jolie,37,69,73.5,224.4,Universal
8,Deeann,20,82,47.6,90.5,Cross-platform
9,Gilda,32,85,5.3,278.6,website
10,Zacherie,47,24,30.1,236.2,policy
11,Reta,91,73,35.9,174.1,local area network
12,Andree,79,85,30.8,71.2,Multi-lateral
13,Adria,53,75,88.2,8.9,leverage
14,Nonie,17,90,47.2,111.9,Seamless
15,Dalton,82,22,15.9,231.4,system-worthy
16,Osmund,4,50,19.6,208.7,regional
17,Meryl,50,32,78.9,144.1,Synergistic
18,Ade,8,43,4.0,273.7,Multi-tiered
19,Karola,92,38,28.0,171.7,explicit
20,Gage,40,15,8.8,64.2,installation
21,Nikolas,82,49,60.3,270.7,Decentralized
22,Luciana,42,5,73.0,102.8,multi-tasking
23,Dexter,14,50,67.0,290.0,encoding
24,Lorry,91,73,82.0,70.8,firmware
25,Hurlee,84,17,47.1,115.2,interface
26,Roshelle,52,64,41.3,281.5,Monitored
27,Fidel,18,1,5.5,102.2,Universal
28,Lisha,93,95,67.1,69.5,cohesive
29,Den,46,76,89.6,179.3,zero administration
30,Cecilla,62,18,12.2,245.8,strategy
31,Liv,54,82,21.1,49.7,uniform
32,Ives,65,60,23.4,125.8,Optional
33,Ky,80,86,80.6,264.8,reciprocal
34,Noami,78,28,26.9,140.4,executive
35,Ailis,37,92,23.3,150.3,project
36,Lissi,70,41,41.5,258.7,Self-enabling
37,Belle,41,57,52.2,216.0,disintermediate
38,Sabina,46,10,18.7,99.1,tangible
39,Harold,86,39,93.1,62.0,application
40,Clarissa,41,52,37.4,51.7,open system
41,Lonnard,70,99,58.9,152.6,firmware
42,Corbet,30,87,2.5,29.8,radical
43,Ailis,74,49,78.8,220.1,interactive
44,Duffy,57,12,34.7,234.9,Universal
45,Karmen,80,62,86.2,143.4,alliance
46,Margette,25,58,38.1,49.8,collaboration
47,Wood,69,68,1.3,181.1,Ameliorated
48,Orville,18,67,23.3,58.9,open system
49,Shell,57,23,45.2,129.3,Graphic Interface
50,Amelita,16,62,19.6,131.8,Operative
51,Mackenzie,89,99,62.1,262.2,didactic
52,Cathryn,36,98,14.6,257.7,Multi-tiered
53,Chet,8,20,16.5,31.3,solution-oriented
54,Diane,25,41,49.8,285.9,Synergistic
55,Rodolphe,79,32,68.6,19.4,multi-state
56,Frannie,80,19,81.2,119.3,logistical
57,Milt,56,33,75.9,209.7,internet solution
58,Gaylord,38,10,20.8,174.5,complexity
59,Cherish,37,44,19.0,99.1,Face to face
60,Neille,69,0,38.4,173.1,asymmetric
61,Letisha,56,79,89.3,279.5,Enterprise-wide
62,Abbe,51,28,7.1,227.4,knowledge user
63,Felike,99,28,89.3,180.2,upward-trending
64,Merrielle,69,33,15.5,145.2,bifurcated
65,Fancy,26,98,25.7,279.2,Organic
66,Rubetta,23,61,65.0,268.0,Vision-oriented
67,Curtice,53,19,69.5,78.4,framework
68,Isadora,13,1,64.3,49.0,responsive
69,Rollo,69,78,16.0,259.6,cohesive
70,Oona,82,74,51.7,274.1,Persistent
71,Adriane,50,12,58.6,231.9,bandwidth-monitored
72,Ameline,41,15,94.3,72.3,Profit-focused
73,Gwyneth,62,80,36.2,192.8,Expanded
74,Tana,96,6,3.8,177.5,3rd generation
75,Bent,53,34,31.6,87.4,moratorium
76,Noell,46,70,6.6,230.5,methodology
77,Quintus,1,57,17.3,124.0,Reverse-engineered
78,Arabel,65,83,19.2,213.3,explicit
79,Rosabelle,49,5,59.4,155.8,framework
80,Ruprecht,5,89,7.3,220.5,value-added
81,Wake,82,11,92.2,285.7,Face to face
82,Durward,23,60,97.2,8.7,functionalities
83,Laird,79,62,23.7,209.2,complexity
84,Kevan,44,41,0.2,24.1,mission-critical
85,Kimberli,45,76,46.9,118.0,Profound
86,Delphinia,47,42,69.1,81.0,Sharable
87,Charmian,56,88,56.4,91.7,responsive
88,Adelbert,28,3,38.2,241.2,modular
89,Valdemar,28,72,32.5,99.8,process improvement
90,Marty,59,92,80.2,282.9,well-modulated
91,Therine,65,21,59.6,78.0,Enterprise-wide
92,Karol,89,35,71.0,217.6,architecture
93,Melodie,54,32,34.7,198.2,asynchronous
94,Rori,19,81,7.6,71.8,implementation
95,Belvia,92,98,78.0,175.5,Open-source
96,Ramsay,51,70,98.1,83.5,Quality-focused
97,Milty,63,26,92.6,125.7,Centralized
98,Blane,46,52,74.9,229.8,Extended
99,Terrijo,82,71,42.8,31.6,analyzer
100,Cale,2,97,60.0,234.5,Exclusive
101,Inger,13,76,65.5,118.9,Multi-layered
102,Yevette,58,35,11.8,132.8,flexibility
103,Val,20,22,45.5,79.0,Profound
104,Breena,5,60,13.9,142.1,value-added
105,Salomone,70,72,17.1,211.6,bi-directional
106,Dall,30,75,59.0,16.0,Expanded
107,Ware,19,4,21.5,45.7,optimizing
108,Benoit,63,74,50.5,17.2,superstructure
109,Stu,75,74,19.8,56.6,discrete
110,Tad,43,68,57.2,249.1,encoding
111,Di,35,79,77.1,145.5,heuristic
112,Fredericka,90,10,17.8,89.2,didactic
113,Alyse,33,51,53.3,203.4,framework
114,Paola,14,91,65.3,113.3,client-driven
115,Benjamen,21,99,14.8,119.0,model
116,Corella,55,77,74.9,218.3,Quality-focused
117,Bunny,28,34,3.6,180.2,Self-enabling
118,Gilberta,51,90,17.6,19.9,bottom-line
119,Inga,84,83,90.5,78.0,Universal
120,Wenda,88,69,94.3,245.8,responsive
121,Lucine,71,21,70.0,201.6,zero tolerance
122,Del,84,57,69.1,58.6,Enhanced
123,Nobie,39,70,84.3,93.3,mobile
124,Tallie,75,30,0.8,146.0,neutral
125,Willis,45,50,35.5,91.1,value-added
126,Riley,81,68,16.0,37.9,budgetary management
127,Clim,34,40,27.0,157.2,composite
128,Lem,39,46,39.3,226.4,adapter
129,Regina,43,88,11.6,9.1,system-worthy
130,Lissy,27,82,62.4,160.2,bi-directional
131,Ramon,35,17,69.0,186.8,Fully-configurable
132,Marney,43,10,46.8,8.4,alliance
133,Frederick,19,2,29.8,186.5,24/7
134,Brook,52,33,93.1,49.6,database
